# Generated by scripts/generate_sound_compatibility.py
# left_sound\tright_sound\treplace_cost
э	ў	15
_а_	<empty>	1000
_а_	а	20
_а_	о	30
_а_	у	30
_а_	і	30
_а_	ы	30
_а_	э	30
_а_	_а_	0
_а_	_о_	10
_а_	_у_	10
_а_	_і_	10
_а_	_ы_	10
_а_	_э_	10
_а_	б	30
_а_	б'	30
_а_	п	40
_а_	п'	40
_а_	в	30
_а_	в'	30
_а_	г	30
_а_	г'	30
_а_	х	40
_а_	х'	40
_а_	г*	30
_а_	г*'	30
_а_	к	40
_а_	к'	40
_а_	д	30
_а_	дз'	30
_а_	т	40
_а_	ц'	40
_а_	дз	30
_а_	ц	40
_а_	ж	30
_а_	ш	40
_а_	з	30
_а_	з'	30
_а_	с	40
_а_	с'	40
_а_	й	30
_а_	л	30
_а_	л'	30
_а_	м	30
_а_	м'	30
_а_	н	30
_а_	н'	30
_а_	р	30
_а_	ф	40
_а_	ф'	40
_а_	дж	30
_а_	ч	40
_а_	ў	30
_о_	<empty>	1000
_о_	а	30
_о_	о	20
_о_	у	30
_о_	і	30
_о_	ы	30
_о_	э	30
_о_	_а_	10
_о_	_о_	0
_о_	_у_	10
_о_	_і_	10
_о_	_ы_	10
_о_	_э_	10
_о_	б	30
_о_	б'	30
_о_	п	40
_о_	п'	40
_о_	в	30
_о_	в'	30
_о_	г	30
_о_	г'	30
_о_	х	40
_о_	х'	40
_о_	г*	30
_о_	г*'	30
_о_	к	40
_о_	к'	40
_о_	д	30
_о_	дз'	30
_о_	т	40
_о_	ц'	40
_о_	дз	30
_о_	ц	40
_о_	ж	30
_о_	ш	40
_о_	з	30
_о_	з'	30
_о_	с	40
_о_	с'	40
_о_	й	30
_о_	л	30
_о_	л'	30
_о_	м	30
_о_	м'	30
_о_	н	30
_о_	н'	30
_о_	р	30
_о_	ф	40
_о_	ф'	40
_о_	дж	30
_о_	ч	40
_о_	ў	30
_у_	<empty>	1000
_у_	а	30
_у_	о	30
_у_	у	20
_у_	і	30
_у_	ы	30
_у_	э	30
_у_	_а_	10
_у_	_о_	10
_у_	_у_	0
_у_	_і_	10
_у_	_ы_	10
_у_	_э_	10
_у_	б	30
_у_	б'	30
_у_	п	40
_у_	п'	40
_у_	в	30
_у_	в'	30
_у_	г	30
_у_	г'	30
_у_	х	40
_у_	х'	40
_у_	г*	30
_у_	г*'	30
_у_	к	40
_у_	к'	40
_у_	д	30
_у_	дз'	30
_у_	т	40
_у_	ц'	40
_у_	дз	30
_у_	ц	40
_у_	ж	30
_у_	ш	40
_у_	з	30
_у_	з'	30
_у_	с	40
_у_	с'	40
_у_	й	30
_у_	л	30
_у_	л'	30
_у_	м	30
_у_	м'	30
_у_	н	30
_у_	н'	30
_у_	р	30
_у_	ф	40
_у_	ф'	40
_у_	дж	30
_у_	ч	40
_у_	ў	30
_і_	<empty>	1000
_і_	а	30
_і_	о	30
_і_	у	30
_і_	і	20
_і_	ы	0
_і_	э	30
_і_	_а_	10
_і_	_о_	10
_і_	_у_	10
_і_	_і_	0
_і_	_ы_	0
_і_	_э_	10
_і_	б	30
_і_	б'	30
_і_	п	40
_і_	п'	40
_і_	в	30
_і_	в'	30
_і_	г	30
_і_	г'	30
_і_	х	40
_і_	х'	40
_і_	г*	30
_і_	г*'	30
_і_	к	40
_і_	к'	40
_і_	д	30
_і_	дз'	30
_і_	т	40
_і_	ц'	40
_і_	дз	30
_і_	ц	40
_і_	ж	30
_і_	ш	40
_і_	з	30
_і_	з'	30
_і_	с	40
_і_	с'	40
_і_	й	30
_і_	л	30
_і_	л'	30
_і_	м	30
_і_	м'	30
_і_	н	30
_і_	н'	30
_і_	р	30
_і_	ф	40
_і_	ф'	40
_і_	дж	30
_і_	ч	40
_і_	ў	30
_ы_	<empty>	1000
_ы_	а	30
_ы_	о	30
_ы_	у	30
_ы_	і	0
_ы_	ы	20
_ы_	э	30
_ы_	_а_	10
_ы_	_о_	10
_ы_	_у_	10
_ы_	_і_	0
_ы_	_ы_	0
_ы_	_э_	10
_ы_	б	30
_ы_	б'	30
_ы_	п	40
_ы_	п'	40
_ы_	в	30
_ы_	в'	30
_ы_	г	30
_ы_	г'	30
_ы_	х	40
_ы_	х'	40
_ы_	г*	30
_ы_	г*'	30
_ы_	к	40
_ы_	к'	40
_ы_	д	30
_ы_	дз'	30
_ы_	т	40
_ы_	ц'	40
_ы_	дз	30
_ы_	ц	40
_ы_	ж	30
_ы_	ш	40
_ы_	з	30
_ы_	з'	30
_ы_	с	40
_ы_	с'	40
_ы_	й	30
_ы_	л	30
_ы_	л'	30
_ы_	м	30
_ы_	м'	30
_ы_	н	30
_ы_	н'	30
_ы_	р	30
_ы_	ф	40
_ы_	ф'	40
_ы_	дж	30
_ы_	ч	40
_ы_	ў	30
_э_	<empty>	1000
_э_	а	30
_э_	о	30
_э_	у	30
_э_	і	30
_э_	ы	30
_э_	э	20
_э_	_а_	10
_э_	_о_	10
_э_	_у_	10
_э_	_і_	10
_э_	_ы_	10
_э_	_э_	0
_э_	б	30
_э_	б'	30
_э_	п	40
_э_	п'	40
_э_	в	30
_э_	в'	30
_э_	г	30
_э_	г'	30
_э_	х	40
_э_	х'	40
_э_	г*	30
_э_	г*'	30
_э_	к	40
_э_	к'	40
_э_	д	30
_э_	дз'	30
_э_	т	40
_э_	ц'	40
_э_	дз	30
_э_	ц	40
_э_	ж	30
_э_	ш	40
_э_	з	30
_э_	з'	30
_э_	с	40
_э_	с'	40
_э_	й	30
_э_	л	30
_э_	л'	30
_э_	м	30
_э_	м'	30
_э_	н	30
_э_	н'	30
_э_	р	30
_э_	ф	40
_э_	ф'	40
_э_	дж	30
_э_	ч	40
_э_	ў	30
б	<empty>	1000
б	а	15
б	о	15
б	у	15
б	і	15
б	ы	15
б	э	15
б	_а_	30
б	_о_	30
б	_у_	30
б	_і_	30
б	_ы_	30
б	_э_	30
б	б	0
б	б'	7
б	п	3.5
б	п'	10.5
б	в	6
б	в'	20
б	г	6
б	г'	20
б	х	13
б	х'	27
б	г*	6
б	г*'	20
б	к	13
б	к'	27
б	д	6
б	дз'	20
б	т	13
б	ц'	27
б	дз	6
б	ц	13
б	ж	6
б	ш	13
б	з	6
б	з'	20
б	с	13
б	с'	27
б	й	20
б	л	6
б	л'	20
б	м	6
б	м'	20
б	н	6
б	н'	20
б	р	6
б	ф	13
б	ф'	27
б	дж	6
б	ч	13
б	ў	6
б'	<empty>	1000
б'	а	15
б'	о	15
б'	у	15
б'	і	15
б'	ы	15
б'	э	15
б'	_а_	30
б'	_о_	30
б'	_у_	30
б'	_і_	30
б'	_ы_	30
б'	_э_	30
б'	б	7
б'	б'	0
б'	п	10.5
б'	п'	3.5
б'	в	20
б'	в'	6
б'	г	20
б'	г'	6
б'	х	27
б'	х'	13
б'	г*	20
б'	г*'	6
б'	к	27
б'	к'	13
б'	д	20
б'	дз'	6
б'	т	27
б'	ц'	13
б'	дз	20
